Stock Code,Name,outstanding shares
1638,KAISA GROUP,6071428571
1658,PSBC,19854978355
1660,ZHAOBANGJI PPT,1238202247
1666,TONG REN TANG,628205128.2
1668,CHINASOUTHCITY,8115702479
1672,ASCLETIS-B,1120663650
1680,MACAU LEGEND,6263565891
1681,CONSUN PHARMA,870656370.7
1686,SUNEVISION,2324812030
1708,SAMPLE TECH,228607918.3
1717,AUSNUTRIA,1594957983
1720,PUTIAN COMM,1096234310
1727,HEBEI CONS,460898502.5
1728,ZHENGTONGAUTO,2451193059
1765,HOPE EDU,6666666667
1766,CRRC,4370738636
1772,GANFENGLITHIUM,200000000
1776,GF SEC,1701426025
1777,FANTASIA,5759740260
1778,COLOUR LIFE,1327118644
1787,SD GOLD,356476079.3
1788,GUOTAI JUNAN I,7709876543
1789,AK MEDICAL,1039215686
1798,DATANG RENEW,2500000000
1799,XINTE ENERGY,312316715.5
1800,CHINA COMM CONS,4427461140
1803,BJ SPORTS & ENT,1303571429
1806,HUIFU PAYMENT,1249422633
1810,XIAOMI-W,23969869707
1811,CGN NEW ENERGY,4289256198
1812,CHENMING PAPER,526066350.7
1813,KWG GROUP,3173866091
1816,CGN POWER,11161904762
1818,ZHAOJIN MINING,1049019608
1828,DCH HOLDINGS,1885017422
1829,CMEC,907216494.8
1833,PA GOODDOCTOR,1067158672
1836,STELLA HOLDINGS,793777134.6
1848,CALC,677025527.2
1862,JINGRUI HLDGS,1397887324
1866,CHINA XLX FERT,1171232877
1882,HAITIAN INT'L,1595555556
1883,CITIC TELECOM,3632530120
1888,KB LAMINATES,3080513419
1898,CHINA COAL,4105555556
1899,XINGDA INT'L,1492063492
1908,C&D INTL GROUP,733879222.1
1910,SAMSONITE,1430734967
1911,CR HOLDINGS,543283582.1
1913,PRADA,2558730159
1916,JIANGXI BANK,1345104334
1918,SUNAC,4432552404
1919,COSCO SHIP HOLD,2579088472
1928,SANDS CHINA LTD,8081913652
1929,CHOW TAI FOOK,10000000000
1958,BAIC MOTOR,2519725557
1963,BCQ,1577075099
1966,CHINA SCE GROUP,4124324324
1970,IMAX CHINA,356164383.6
1972,SWIREPROPERTIES,5850000000
1980,TIANGE,1263157895
1988,MINSHENG BANK,8319865320
1996,RSUN PPT,3316546763
1997,WHARF REIC,3036122618
1999,MAN WAH HLDGS,3823255814
2001,NEW HIGHER EDU,1540389972
2003,VCREDIT,498901098.9
2005,SSY GROUP,3013793103
2006,JINJIANG HOTELS,1390862944
2007,COUNTRY GARDEN,21660125589
2009,BBMG,2338129496
2014,OZNER WATER,2128571429
2016,CZBANK,4553488372
2018,AAC TECH,1212465116
2020,ANTA SPORTS,2685087719
2038,FIH,8209459459
2039,CIMC,1715953307
2048,E-HOUSE ENT,1470134875
2051,51 CREDIT CARD,1192727273
2066,SHENGJINGBANK,1539534884
2098,ZALL SMARTCOM,11679487179
2099,CHINAGOLDINTL,395953757.2
2128,CHINA LESSO,3102230483
2136,LIFESTYLE CHI,1461279461
2139,BANK OF GANSU,2540909091
2186,LUYE PHARMA,3274261603
2196,FOSUN PHARMA,551871657.8
2198,CHINA SANJIANG,1188073394
2202,CHINA VANKE,1577922078
2208,GOLDWIND,773288440
2232,CRYSTAL INTL,2852791878
2233,WESTCHINACEMENT,5428571429
2238,GAC GROUP,3098360656
2255,HAICHANG HLDG,4000000000
2269,WUXI BIO,1228315183
2280,HC GROUP,1120300752
2282,MGM CHINA,3799752781
2283,TK GROUP HLDG,831521739.1
2298,COSMO LADY,2252000000
2299,BILLION IND,2124076809
2303,HENGXING GOLD,923928077.5
2313,SHENZHOU INTL,1503139867
2314,LEE & MAN PAPER,4379844961
2318,PING AN,7447562935
2319,MENGNIU DAIRY,3928646749
2322,NOBLE CENTURY,3671428571
2328,PICC P&C,6898789879
2329,GUORUI PPT,4439024390
2331,LI NING,2304979253
2333,GREATWALL MOTOR,3099259259
2338,WEICHAI POWER,1943009119
2342,COMBA,2475490196
2343,PACIFIC BASIN,4654320988
2356,DAHSING BANKING,1405459387
2357,AVICHINA,6243128964
2359,WUXI APPTEC,121794871.8
2362,JINCHUAN INTL,12605263158
2378,PRU,2599666667
2380,CHINA POWER,9802955665
2382,SUNNY OPTICAL,1096832579
2383,TOM GROUP,3956989247
2386,SINOPEC SEG,1460719041
2388,BOC HONG KONG,10572727273
2393,YESTAR HEALTH,2401098901
2399,FORDOO,479784366.6
2488,LAUNCH TECH,147696477
2552,HUA MEDICINE-B,1054208274
2588,BOC AVIATION,693959731.5
2600,CHALCO,3940993789
2601,CPIC,2775189107
2607,SH PHARMA,918604651.2
2608,SUNSHINE 100,2555555556
2611,GTJA,1391566265
2628,CHINA LIFE,7441002278
2638,HKELECTRIC-SS,8836150845
2662,CAMSING INTL,1076222981
2666,UNI MEDICAL,1715639810
2669,CHINA OVS PPT,3284574468
2678,TEXHONG TEXTILE,914874552
2686,AAG ENERGY,3389610390
2688,ENN ENERGY,1124000000
2689,ND PAPER,4692101740
2698,WEIQIAO TEXTILE,411949685.5
2727,SH ELECTRIC,2970684039
2768,JIAYUAN INTL,2559782609
2777,R&F PROPERTIES,1014962594
2779,CH XINHUA EDU,1607407407
2799,CHINA HUARONG,25041916168
2858,YIXIN,6370000000
2866,COSCO SHIP DEV,3745454545
2868,BJ CAPITAL LAND,1019169329
2869,GREENTOWN SER,2777448071
2877,SHINEWAY PHARM,826030927.8
2880,DALIAN PORT,5153846154
2883,CHINA OILFIELD,1810227273
2888,STANCHART,3310052122
2899,ZIJIN MINING,5734567901
2921,GLOBALBRAND-OLD,1028645833
3301,RONSHINECHINA,1722527473
3306,JNBY,518134715
3308,GOLDEN EAGLE,1678418803
3309,C-MER EYE,1038775510
3311,CHINA STATE CON,5048567870
3319,A-LIVING,433021806.9
3320,CHINARES PHARMA,6284153005
3323,CNBM,3867586207
3328,BANKCOMM,35010526316
3331,VINDA INT'L,1194805195
3333,EVERGRANDE,13125000000
3336,JU TENG INTL,1164444444
3337,ANTON OILFIELD,3000000000
3339,LONKING,4279850746
3360,FE HORIZON,3954128440
3369,QHD PORT,824858757.1
3377,SINO-OCEAN GP,7613445378
3380,LOGAN PPT,5500000000
3382,TIANJINPORT DEV,6148936170
3383,AGILE GROUP,3916393443
3393,WASION HOLDINGS,997506234.4
3396,LEGENDHOLDING,1271724138
3606,FUYAO GLASS,505498281.8
3613,TONGRENTANGCM,836814621.4
3618,CQRC BANK,2512605042
3633,ZHONGYU GAS,2536290323
3639,YIDA CHINA,2581196581
3669,YONGDA AUTO,1837086093
3683,GREAT HARVEST,951351351.4
3690,MEITUAN-W,5735964912
3698,HUISHANG BANK,3476190476
3700,INKE,2057591623
3709,KORADIOR,486170212.8
3799,DALI FOODS,13692870201
3800,GCL-POLY ENERGY,18315789474
3808,SINOTRUK,2760489510
3813,POU SHENG INT'L,5352631579
3818,CHINA DONGXIANG,5882352941
3836,HARMONY AUTO,1526315789
3866,BQD,1762857143
3883,CHINA AOYUAN,2677319588
3888,KINGSOFT,1372708758
3898,CRRC TIMES ELEC,547160493.8
3899,CIMC ENRIC,1996319018
3900,GREENTOWN CHINA,2170124481
3908,CICC,1727534562
3918,NAGACORP,4340425532
3933,UNITED LAB,1638157895
3958,DFZQ,1026490066
3968,CM BANK,4590686275
3969,CHINA CRSC,1968543046
3983,CHINA BLUECHEM,1768382353
3988,BANK OF CHINA,83620967742
3993,CMOC,3933121019
3996,CH ENERGY ENG,9252631579
3998,BOSIDENG,10688073394
6030,CITIC SEC,2278216704
6058,CISI FIN,4000000000
6060,ZA ONLINE,469488536.2
6066,CSC,1259629101
6068,WISDOM EDU INTL,2045045045
6088,FIT HON TENG,6741706161
6098,CG SERVICES,2668539326
6099,CMSC,979890310.8
6100,TALENT LIEPIN,517617866
6116,LA CHAPELLE,214788288.3
6122,JIUTAI RCB,756676557.9
6138,HARBIN BANK,3022099448
6139,JINMAO HOTEL-SS,2000000000
6158,ZHENRO PPT,4121495327
6160,BEIGENE-B,776494845.4
6166,CHINA VAST,1649700599
6168,CHINA U-TON,2083333333
6169,YUHUA EDU,3283286119
6178,EB SECURITIES,703703703.7
6190,BANKOFJIUJIANG,406603773.6
6196,BANKOFZHENGZHOU,1516417910
6198,QINGDAO PORT,1098513011
6808,SUNART RETAIL,9539436620
6818,CEB BANK,12678663239
6823,HKT-SS,7571312804
6826,HAOHAI BIOTEC,39964317.57
6828,BG BLUE SKY,12981132075
6837,HAITONG SEC,3408829175
6858,HONMAGOLF,608472400.5
6860,FINGERTANGO,1974683544
6862,HAIDILAO,5299829642
6868,TENFU,1199233716
6869,YOFC,351325301.2
6878,DIFFER GROUP,6361702128
6881,CGS,3690607735
6886,HTSC,1719035202
6889,DYNAM JAPAN,765873015.9
8032,VIVA CHINA,8854545455
8047,CHINAOCEAN FISH,4214285714
8057,MADISON HLDG,5189655172
8083,CHINA YOUZAN,15459016393
8137,HONBRIDGE,9844444444
8207,CHONGSING HLDGS,23015873016
8265,CHINA TRUSTFUL,2666666667
8279,AGTECH HOLDINGS,11263157895
8283,ZHENG LI-NEW,2000000000
8293,SINGASIA HLDG,1248496994
8469,SHENGYE CAPITAL,878213802.4
8569,ZHENG LI-OLD,2000000000
80737,HOPEWELL INFR-R,3594444444
